Model,ROC-AUC,PR-AUC,Denial_F1,Denial_Prec,Denial_Rec,Accuracy,Time_s
M2_LogisticRegression,0.9996495143086985,0.9988378713322092,0.9878133297444559,0.987608367055912,0.9880183775242677,0.9936820126790118,642.5356585979462
M4_DecisionTree,0.9994436900346768,0.9982228655999213,0.9881290695265066,0.9863565596066919,0.9899079614132377,0.9938359031741871,437.12099385261536
M3_LinearSVM,0.9994405792840687,0.9976738682748728,0.9888600116491656,0.9931401336443072,0.9846166233060422,0.994250625017117,188.09689021110535
M1_NaiveBayes,0.9985931761546037,0.9936873709433506,0.9838300703553831,0.9930484888409278,0.9747812259398856,0.9916957819658598,40.46693205833435
M0_Baseline,0.5,0.25916333128580726,0.0,0.0,0.0,0.7408366687141927,0.02030801773071289
